Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0,558;-0,0350000000000001;;;;
0,56;-0,0350000000000001;;;;
0,562;-0,0300000000000002;;;;
0,564;-0,0300000000000002;;;;
0,566;-0,0300000000000002;;;;
0,568;-0,0249999999999999;;;;
0,57;-0,0350000000000001;;;;
0,572;-0,0350000000000001;;;;
0,574;-0,0300000000000002;;;;
0,576;-0,0449999999999999;;;;
0,578;-0,04;;;;
0,58;-0,04;;;;
0,582;-0,0350000000000001;;;;
0,584;-0,0350000000000001;;;;
0,586;-0,0300000000000002;;;;
0,588;-0,0300000000000002;;;;
0,59;-0,04;;;;
0,592;-0,04;;;;
0,594;-0,0449999999999999;;;;
0,596;-0,0499999999999998;;;;
0,598;-0,04;;;;
0,6;-0,0449999999999999;;;;
0,602;-0,04;;;;
0,604;-0,0449999999999999;;;;
0,606;-0,0350000000000001;;;;
0,608;-0,0350000000000001;;;;
0,61;-0,0449999999999999;;;;
0,612;-0,0449999999999999;;;;
0,614;-0,0499999999999998;;;;
0,616;-0,0550000000000002;;;;
0,618;-0,0600000000000001;;;;
0,62;-0,0550000000000002;;;;
0,622;-0,0499999999999998;;;;
0,624;-0,0550000000000002;;;;
0,626;-0,0449999999999999;;;;
0,628;-0,0499999999999998;;;;
0,63;-0,0550000000000002;;;;
0,632;-0,0499999999999998;;;;
0,634;-0,0600000000000001;;;;
0,636;-0,0649999999999999;;;;
0,638;-0,0700000000000003;;;;
0,64;-0,0600000000000001;;;;
0,642;-0,0649999999999999;;;;
0,644;-0,0649999999999999;;;;
0,646;-0,0550000000000002;;;;
0,648;-0,0649999999999999;;;;
0,65;-0,0649999999999999;;;;
0,652;-0,0750000000000002;;;;
0,654;-0,0700000000000003;;;;
0,656;-0,0750000000000002;;;;
0,658;-0,085;;;;
0,66;-0,0750000000000002;;;;
0,662;-0,0800000000000001;;;;
0,664;-0,0800000000000001;;;;
0,666;-0,0800000000000001;;;;
0,668;-0,0800000000000001;;;;
0,67;-0,0800000000000001;;;;
0,672;-0,0899999999999999;;;;
0,674;-0,085;;;;
0,676;-0,1;;;;
0,678;-0,0950000000000002;;;;
0,68;-0,0899999999999999;;;;
0,682;-0,1;;;;
0,684;-0,0950000000000002;;;;
0,686;-0,0950000000000002;;;;
0,688;-0,0950000000000002;;;;
0,69;-0,11;;;;
0,692;-0,11;;;;
0,694;-0,105;;;;
0,696;-0,12;;;;
0,698;-0,12;;;;
0,7;-0,125;;;;
0,702;-0,12;;;;
0,704;-0,115;;;;
0,706;-0,125;;;;
0,708;-0,12;;;;
0,71;-0,135;;;;
0,712;-0,135;;;;
0,714;-0,14;;;;
0,716;-0,145;;;;
0,718;-0,145;;;;
0,72;-0,15;;;;
0,722;-0,15;;;;
0,724;-0,155;;;;
0,726;-0,15;;;;
0,728;-0,15;;;;
0,73;-0,16;;;;
0,732;-0,165;;;;
0,734;-0,175;;;;
0,736;-0,175;;;;
0,738;-0,185;;;;
0,74;-0,18;;;;
0,742;-0,175;;;;
0,744;-0,19;;;;
0,746;-0,18;;;;
0,748;-0,19;;;;
0,75;-0,195;;;;
0,752;-0,195;;;;
0,754;-0,205;;;;
0,756;-0,21;;;;
0,758;-0,22;;;;
0,76;-0,215;;;;
0,762;-0,22;;;;
0,764;-0,225;;;;
0,766;-0,215;;;;
0,768;-0,23;;;;
0,77;-0,235;;;;
0,772;-0,245;;;;
0,774;-0,245;;;;
0,776;-0,25;;;;
0,778;-0,255;;;;
0,78;-0,255;;;;
0,782;-0,265;;;;
0,784;-0,265;;;;
0,786;-0,265;;;;
0,788;-0,27;;;;
0,79;-0,27;;;;
0,792;-0,285;;;;
0,794;-0,285;;;;
0,796;-0,3;;;;
0,798;-0,3;;;;
0,8;-0,305;;;;
0,802;-0,305;;;;
0,804;-0,305;;;;
0,806;-0,31;;;;
0,808;-0,315;;;;
0,81;-0,325;;;;
0,812;-0,325;;;;
0,814;-0,325;;;;
0,816;-0,345;;;;
0,818;-0,345;;;;
0,82;-0,35;;;;
0,822;-0,35;;;;
0,824;-0,36;;;;
0,826;-0,355;;;;
0,828;-0,36;;;;
0,83;-0,37;;;;
0,832;-0,375;;;;
0,834;-0,385;;;;
0,836;-0,39;;;;
0,838;-0,39;;;;
0,84;-0,4;;;;
0,842;-0,4;;;;
0,844;-0,405;;;;
0,846;-0,405;;;;
0,848;-0,415;;;;
0,85;-0,415;;;;
0,852;-0,42;;;;
0,854;-0,43;;;;
0,856;-0,435;;;;
0,858;-0,445;;;;
0,86;-0,445;;;;
0,862;-0,445;;;;
0,864;-0,45;;;;
0,866;-0,45;;;;
0,868;-0,46;;;;
0,87;-0,465;;;;
0,872;-0,475;;;;
0,874;-0,48;;;;
0,876;-0,485;;;;
0,878;-0,495;;;;
0,88;-0,49;;;;
0,882;-0,5;;;;
0,884;-0,5;;;;
0,886;-0,495;;;;
0,888;-0,51;;;;
0,89;-0,51;;;;
0,892;-0,525;;;;
0,894;-0,525;;;;
0,896;-0,54;;;;
0,898;-0,545;;;;
0,9;-0,54;;;;
0,902;-0,55;;;;
0,904;-0,55;;;;
0,906;-0,555;;;;
0,908;-0,555;;;;
0,91;-0,565;;;;
0,912;-0,575;;;;
0,914;-0,575;;;;
0,916;-0,59;;;;
0,918;-0,595;;;;
0,92;-0,595;;;;
0,922;-0,6;;;;
0,924;-0,6;;;;
0,926;-0,605;;;;
0,928;-0,605;;;;
0,93;-0,62;;;;
0,932;-0,625;;;;
0,934;-0,62;;;;
0,936;-0,64;;;;
0,938;-0,64;;;;
0,94;-0,645;;;;
0,942;-0,645;;;;
0,944;-0,65;;;;
0,946;-0,65;;;;
0,948;-0,65;;;;
0,95;-0,665;;;;
0,952;-0,67;;;;
0,954;-0,675;;;;
0,956;-0,685;;;;
0,958;-0,685;;;;
0,96;-0,69;;;;
0,962;-0,695;;;;
0,964;-0,7;;;;
0,966;-0,695;;;;
0,968;-0,7;;;;
0,97;-0,715;;;;
0,972;-0,715;;;;
0,974;-0,725;;;;
0,976;-0,73;;;;
0,978;-0,735;;;;
0,98;-0,735;;;;
0,982;-0,735;;;;
0,984;-0,745;;;;
0,986;-0,735;;;;
0,988;-0,75;;;;
0,99;-0,755;;;;
0,992;-0,75;;;;
0,994;-0,765;;;;
0,996;-0,775;;;;
0,998;-0,78;;;;
1;-0,78;;;;
1,002;-0,785;;;;
1,004;-0,785;;;;
1,006;-0,78;;;;
1,008;-0,79;;;;
1,01;-0,795;;;;
1,012;-0,805;;;;
1,014;-0,81;;;;
1,016;-0,81;;;;
1,018;-0,82;;;;
1,02;-0,815;;;;
1,022;-0,825;;;;
1,024;-0,825;;;;
1,026;-0,825;;;;
1,028;-0,83;;;;
1,03;-0,835;;;;
1,032;-0,845;;;;
1,034;-0,845;;;;
1,036;-0,855;;;;
1,038;-0,86;;;;
1,04;-0,855;;;;
1,042;-0,86;;;;
1,044;-0,86;;;;
1,046;-0,865;;;;
1,048;-0,865;;;;
1,05;-0,875;;;;
1,052;-0,88;;;;
1,054;-0,88;;;;
1,056;-0,895;;;;
1,058;-0,89;;;;
1,06;-0,895;;;;
1,062;-0,895;;;;
1,064;-0,895;;;;
1,066;-0,9;;;;
1,068;-0,9;;;;
1,07;-0,91;;;;
1,072;-0,915;;;;
1,074;-0,915;;;;
1,076;-0,925;;;;
1,078;-0,925;;;;
1,08;-0,925;;;;
1,082;-0,925;;;;
1,084;-0,93;;;;
1,086;-0,93;;;;
1,088;-0,925;;;;
1,09;-0,94;;;;
1,092;-0,94;;;;
1,094;-0,95;;;;
1,096;-0,955;;;;
1,098;-0,955;;;;
1,1;-0,955;;;;
1,102;-0,955;;;;
1,104;-0,96;;;;
1,106;-0,955;;;;
1,108;-0,96;;;;
1,11;-0,965;;;;
1,112;-0,96;;;;
1,114;-0,97;;;;
1,116;-0,98;;;;
1,118;-0,98;;;;
1,12;-0,98;;;;
1,122;-0,985;;;;
1,124;-0,985;;;;
1,126;-0,975;;;;
1,128;-0,98;;;;
1,13;-0,985;;;;
1,132;-0,995;;;;
1,134;-0,995;;;;
1,136;-0,995;;;;
1,138;-1,005;;;;
1,14;-1;;;;
1,142;-1,005;;;;
1,144;-1;;;;
1,146;-1;;;;
1,148;-1,005;;;;
1,15;-1,005;;;;
1,152;-1,01;;;;
1,154;-1,01;;;;
1,156;-1,02;;;;
1,158;-1,02;;;;
1,16;-1,015;;;;
1,162;-1,02;;;;
1,164;-1,02;;;;
1,166;-1,015;;;;
1,168;-1,015;;;;
1,17;-1,025;;;;
1,172;-1,025;;;;
1,174;-1,025;;;;
1,176;-1,035;;;;
1,178;-1,035;;;;
1,18;-1,035;;;;
1,182;-1,03;;;;
1,184;-1,03;;;;
1,186;-1,03;;;;
1,188;-1,03;;;;
1,19;-1,04;;;;
1,192;-1,04;;;;
1,194;-1,045;;;;
1,196;-1,05;;;;
1,198;-1,045;;;;
1,2;-1,045;;;;
1,202;-1,045;;;;
1,204;-1,05;;;;
1,206;-1,045;;;;
1,208;-1,045;;;;
1,21;-1,05;;;;
1,212;-1,05;;;;
1,214;-1,055;;;;
1,216;-1,055;;;;
1,218;-1,055;;;;
1,22;-1,055;;;;
1,222;-1,055;;;;
1,224;-1,055;;;;
1,226;-1,05;;;;
1,228;-1,055;;;;
1,23;-1,06;;;;
1,232;-1,055;;;;
1,234;-1,06;;;;
1,236;-1,065;;;;
1,238;-1,07;;;;
1,24;-1,065;;;;
1,242;-1,06;;;;
1,244;-1,065;;;;
1,246;-1,06;;;;
1,248;-1,065;;;;
1,25;-1,07;;;;
1,252;-1,075;;;;
1,254;-1,075;;;;
1,256;-1,075;;;;
1,258;-1,08;;;;
1,26;-1,075;;;;
1,262;-1,075;;;;
1,264;-1,08;;;;
1,266;-1,07;;;;
1,268;-1,075;;;;
1,27;-1,08;;;;
1,272;-1,085;;;;
1,274;-1,085;;;;
1,276;-1,09;;;;
1,278;-1,095;;;;
1,28;-1,085;;;;
1,282;-1,09;;;;
1,284;-1,09;;;;
1,286;-1,085;;;;
1,288;-1,09;;;;
1,29;-1,09;;;;
1,292;-1,1;;;;
1,294;-1,095;;;;
1,296;-1,105;;;;
1,298;-1,105;;;;
1,3;-1,1;;;;
1,302;-1,105;;;;
1,304;-1,105;;;;
1,306;-1,105;;;;
1,308;-1,105;;;;
1,31;-1,11;;;;
1,312;-1,115;;;;
1,314;-1,11;;;;
1,316;-1,125;;;;
1,318;-1,12;;;;
1,32;-1,125;;;;
1,322;-1,12;;;;
1,324;-1,115;;;;
1,326;-1,12;;;;
1,328;-1,12;;;;
1,33;-1,13;;;;
1,332;-1,13;;;;
1,334;-1,135;;;;
1,336;-1,14;;;;
1,338;-1,135;;;;
1,34;-1,14;;;;
1,342;-1,14;;;;
1,344;-1,145;;;;
1,346;-1,14;;;;
1,348;-1,135;;;;
1,35;-1,145;;;;
1,352;-1,15;;;;
1,354;-1,155;;;;
1,356;-1,16;;;;
1,358;-1,165;;;;
1,36;-1,155;;;;
1,362;-1,155;;;;
1,364;-1,165;;;;
1,366;-1,16;;;;
1,368;-1,165;;;;
1,37;-1,17;;;;
1,372;-1,17;;;;
1,374;-1,175;;;;
1,376;-1,18;;;;
1,378;-1,185;;;;
1,38;-1,18;;;;
1,382;-1,185;;;;
1,384;-1,185;;;;
1,386;-1,18;;;;
1,388;-1,185;;;;
1,39;-1,19;;;;
1,392;-1,195;;;;
1,394;-1,195;;;;
1,396;-1,2;;;;
1,398;-1,205;;;;
1,4;-1,2;;;;
1,402;-1,205;;;;
1,404;-1,205;;;;
1,406;-1,205;;;;
1,408;-1,2;;;;
1,41;-1,205;;;;
1,412;-1,215;;;;
1,414;-1,215;;;;
1,416;-1,22;;;;
1,418;-1,22;;;;
1,42;-1,215;;;;
1,422;-1,22;;;;
1,424;-1,22;;;;
1,426;-1,22;;;;
1,428;-1,22;;;;
1,43;-1,23;;;;
1,432;-1,225;;;;
1,434;-1,225;;;;
1,436;-1,235;;;;
1,438;-1,235;;;;
1,44;-1,235;;;;
1,442;-1,235;;;;
1,444;-1,235;;;;
1,446;-1,23;;;;
1,448;-1,23;;;;
1,45;-1,235;;;;
1,452;-1,235;;;;
1,454;-1,24;;;;
1,456;-1,245;;;;
